title,price,locations,review
NEW UNLOCKED SAMSUNG GALAXY NOTE 20 ULTRA 5G SM-N986U ALL COLORS GSM/CDMA,"IDR9,045,000.00",from United States,5.0 out of 5 stars.15 product ratings - NEW UNLOCKED SAMSUNG GALAXY NOTE 20 ULTRA 5G SM-N986U ALL COLORS GSM/CDMA
Samsung Galaxy S10 G973U GSM Factory Unlocked 128GB Smartphone - Good,"IDR2,109,218.75",from United States,4.5 out of 5 stars.48 product ratings - Samsung Galaxy S10 G973U GSM Factory Unlocked 128GB Smartphone - Good
Samsung Galaxy Note 20 Ultra 5G N986U (Factory Unlocked) 128GB Phone - Very Good,"IDR6,218,593.75 to IDR6,546,718.75",from United States,5.0 out of 5 stars.87 product ratings - Samsung Galaxy Note 20 Ultra 5G N986U (Factory Unlocked) 128GB Phone - Very Good
Full Cover TEMPERED Glass For iPhone 11 12 13 PRO XS MAX XR 7 8 Screen Protector,"IDR105,573.75",from United Kingdom,no review
Apple iPhone XR 64GB 128GB 256GB (FACTORY UNLOCKED) ✅1 YEAR WARRANTY✅❖SEALED❖,"IDR5,046,093.75 to IDR5,155,468.75",from United States,5.0 out of 5 stars.8 product ratings - Apple iPhone XR 64GB 128GB 256GB (FACTORY UNLOCKED) ✅1 YEAR WARRANTY✅❖SEALED❖
Apple iPhone 12 PRO 128GB │256GB│512GB (UNLOCKED) 🔋 100% BATTERY 🔋 ✤SEALED✤,"IDR11,702,343.75 to IDR13,436,718.75",from United States,5.0 out of 5 stars.17 product ratings - Apple iPhone 12 PRO 128GB │256GB│512GB (UNLOCKED) 🔋 100% BATTERY 🔋 ✤SEALED✤
"Samsung Galaxy Note10 PLUS  SM-N976V, 256GB,Verizon Unlocked, Light Shadow","IDR2,812,343.75 to IDR3,202,968.75",from United States,no review
Google Pixel 5 128GB (Fully Unlocked) Black/Green - Excellent,"IDR4,218,593.75",from United States,4.5 out of 5 stars.15 product ratings - Google Pixel 5 128GB (Fully Unlocked) Black/Green - Excellent
Sealed 4G Dual SIM Samsung Galaxy J7 SM-J700 16GB Android Smart Phone Unlock UK,"IDR1,409,823.75",from United Kingdom,no review
Apple iPhone 7 - 128GB - All Colors - AT&T - Good Condition ,"IDR1,390,468.75",from United States,4.5 out of 5 stars.6 product ratings - Apple iPhone 7 - 128GB - All Colors - AT&T - Good Condition 
